Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,29.09090805053711,29.09090805053711,29.09090805053711,29.09090805053711,24.55695915222168,38289394
2019-12-12,31.983470916748047,31.983470916748047,29.752065658569336,30.413223266601562,25.673187255859375,505692621
2019-12-15,30.661157608032227,30.991735458374023,30.413223266601562,30.909090042114258,26.09177017211914,98349281
2019-12-16,30.991735458374023,31.48760223388672,30.991735458374023,31.404958724975586,26.510353088378906,105973907
2019-12-17,31.446279525756836,31.5289249420166,30.991735458374023,31.198347091674805,26.33595085144043,142672245
2019-12-18,30.991735458374023,31.07438087463379,30.330577850341797,30.330577850341797,25.603422164916992,83822621
2019-12-19,30.330577850341797,30.37190055847168,29.338842391967773,29.338842391967773,24.766250610351562,108120197
2019-12-22,29.42148780822754,29.504131317138672,28.842975616455078,29.173553466796875,24.626726150512695,39709972
2019-12-23,29.173553466796875,29.46280860900879,29.132230758666992,29.42148780822754,24.836021423339844,35098090
2019-12-24,29.46280860900879,29.504131317138672,29.173553466796875,29.25619888305664,24.696489334106445,22184338
2019-12-25,29.25619888305664,29.25619888305664,29.008264541625977,29.09090805053711,24.55695915222168,13572736
2019-12-26,29.049585342407227,29.214876174926758,28.966941833496094,29.214876174926758,24.661611557006836,13863242
2019-12-29,29.173553466796875,29.504131317138672,29.173553466796875,29.25619888305664,24.696489334106445,22966690
2019-12-30,29.25619888305664,29.29751968383789,29.049585342407227,29.049585342407227,24.522083282470703,13147121
2019-12-31,29.049585342407227,29.132230758666992,28.966941833496094,29.132230758666992,24.591842651367188,16332772
2020-01-01,29.132230758666992,29.132230758666992,28.966941833496094,29.008264541625977,24.48719596862793,8517342
2020-01-02,29.008264541625977,29.132230758666992,28.966941833496094,29.049585342407227,24.522083282470703,11430744
2020-01-05,28.92561912536621,28.92561912536621,28.51239585876465,28.55371856689453,24.103492736816406,25239125
2020-01-06,28.51239585876465,28.55371856689453,28.14049530029297,28.51239585876465,24.06861114501953,23401835
2020-01-07,28.471073150634766,28.55371856689453,28.223140716552734,28.388429641723633,23.96396827697754,13923075
2020-01-08,28.099172592163086,28.264461517333984,28.099172592163086,28.264461517333984,23.85931968688965,22150479
